,runname,query_id,metric,value
19,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,146187,pndcg@10,0.953047748775186
20,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,148538,pndcg@10,0.8684630942647961
21,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,156493,pndcg@10,1.0
22,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,168216,pndcg@10,1.0
23,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,182539,pndcg@10,0.8207357933828286
24,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,183378,pndcg@10,1.0
25,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,19335,pndcg@10,0.8165265793251535
26,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,207786,pndcg@10,0.896800358735019
27,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,264014,pndcg@10,0.9826534030350114
28,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,359349,pndcg@10,0.8985594536416041
29,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,405717,pndcg@10,0.8482788953234562
30,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,443396,pndcg@10,0.7308994420364495
31,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,451602,pndcg@10,0.9310503240736743
32,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,47923,pndcg@10,0.8414689077060511
33,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,489204,pndcg@10,0.5613294572402777
34,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,490595,pndcg@10,0.8665834412759037
35,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,527433,pndcg@10,0.7405766166902359
36,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,573724,pndcg@10,0.7610842426000595
37,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,833860,pndcg@10,0.9940637648687984
38,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,855410,pndcg@10,0.9879685643426973
39,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,87181,pndcg@10,1.0
40,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,87452,pndcg@10,0.9181118354883462
41,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,915593,pndcg@10,0.977802289660066
42,colbert_monoelectra-base_msmarco-passage-trec-dl-2019-judged.run,962179,pndcg@10,0.9888608889264011
43,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1037798,pndcg@10,0.6489266791213484
44,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,104861,pndcg@10,1.0
45,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1063750,pndcg@10,0.9363483678265281
46,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1103812,pndcg@10,0.8261690461882244
47,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1106007,pndcg@10,0.7669110823522791
48,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1110199,pndcg@10,0.9237180594043592
49,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1112341,pndcg@10,0.9901216954548575
50,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1113437,pndcg@10,0.9013135682074023
51,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1114646,pndcg@10,0.9803738704373341
52,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1114819,pndcg@10,1.0
53,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1115776,pndcg@10,0.9672082448001699
54,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1117099,pndcg@10,1.0
55,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1121402,pndcg@10,1.0
56,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1121709,pndcg@10,0.9857350013305181
57,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1124210,pndcg@10,0.9679320011798056
58,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1129237,pndcg@10,0.9669302983892095
59,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,1133167,pndcg@10,0.930290913147251
60,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,130510,pndcg@10,0.9820472104493259
61,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,131843,pndcg@10,0.9826741846456147
62,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,146187,pndcg@10,0.9607411724084837
63,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,148538,pndcg@10,0.900164206633753
64,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,156493,pndcg@10,1.0
65,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,168216,pndcg@10,1.0
66,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,182539,pndcg@10,0.8562739386926632
67,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,183378,pndcg@10,1.0
68,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,19335,pndcg@10,1.0
69,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,207786,pndcg@10,0.89770792390012
70,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,264014,pndcg@10,0.9894579421445484
71,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,359349,pndcg@10,0.8914546325823886
72,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,405717,pndcg@10,0.871945353994286
73,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,443396,pndcg@10,0.7704923611143959
74,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,451602,pndcg@10,0.9558646766465271
75,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,47923,pndcg@10,0.7950947984676116
76,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,489204,pndcg@10,0.43067655807339306
77,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,490595,pndcg@10,0.9014107869250991
78,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,527433,pndcg@10,0.9246942880254552
79,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,573724,pndcg@10,0.917525989520166
80,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,833860,pndcg@10,0.9950919023351055
81,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,855410,pndcg@10,0.75
82,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,87181,pndcg@10,1.0
83,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,87452,pndcg@10,0.8437483911512532
84,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,915593,pndcg@10,0.9501282332816391
85,colbert_monoelectra-large_msmarco-passage-trec-dl-2019-judged.run,962179,pndcg@10,0.9980958409241887
86,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1037798,pndcg@10,0.9578186752462641
87,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,104861,pndcg@10,1.0
88,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1063750,pndcg@10,0.956555697552819
89,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1103812,pndcg@10,0.8112979961899192
90,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1106007,pndcg@10,0.7465815713982803
91,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1110199,pndcg@10,0.9528008323647604
92,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1112341,pndcg@10,0.9862683061150214
93,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1113437,pndcg@10,0.7688940780375316
94,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1114646,pndcg@10,0.990010821758894
95,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1114819,pndcg@10,1.0
96,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1115776,pndcg@10,0.976615145508797
97,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1117099,pndcg@10,1.0
98,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1121402,pndcg@10,1.0
99,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1121709,pndcg@10,0.971311765762109
100,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1124210,pndcg@10,0.9349020082382702
101,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1129237,pndcg@10,0.9823489448579314
102,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,1133167,pndcg@10,0.9405216981427216
103,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,130510,pndcg@10,0.9947395329670708
104,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,131843,pndcg@10,1.0
105,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,146187,pndcg@10,0.9885555887183725
106,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,148538,pndcg@10,0.7608110119388043
107,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,156493,pndcg@10,0.9392674714602369
108,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,168216,pndcg@10,1.0
109,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,182539,pndcg@10,0.846245954378242
110,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,183378,pndcg@10,1.0
111,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,19335,pndcg@10,0.9505456851942499
112,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,207786,pndcg@10,0.8944245190404106
113,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,264014,pndcg@10,0.9558505763309039
114,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,359349,pndcg@10,0.993972108622603
115,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,405717,pndcg@10,1.0
116,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,443396,pndcg@10,0.9709507735577158
117,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,451602,pndcg@10,0.7906601537294291
118,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,47923,pndcg@10,0.8007455874606894
119,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,489204,pndcg@10,0.7460340163513587
120,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,490595,pndcg@10,0.9223539820011852
121,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,527433,pndcg@10,0.9644369217408453
122,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,573724,pndcg@10,0.9412987292223569
123,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,833860,pndcg@10,0.9877809634067373
124,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,855410,pndcg@10,0.8068076475336649
125,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,87181,pndcg@10,1.0
126,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,87452,pndcg@10,0.8698980117718487
127,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,915593,pndcg@10,0.9901255006892362
128,colbert_rankgpt4-turbo_msmarco-passage-trec-dl-2019-judged.run,962179,pndcg@10,1.0
129,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1037798,pndcg@10,0.3010299956639812
130,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,104861,pndcg@10,1.0
131,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1063750,pndcg@10,0.9679320011798056
132,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1103812,pndcg@10,0.7929882038982654
133,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1106007,pndcg@10,0.9608730037036743
134,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1110199,pndcg@10,0.9722134223995288
135,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1112341,pndcg@10,0.9794973160703815
136,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1113437,pndcg@10,0.8224123172593171
137,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1114646,pndcg@10,0.9810716285323827
138,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1114819,pndcg@10,1.0
139,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1115776,pndcg@10,0.975735917510911
140,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1117099,pndcg@10,1.0
141,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1121402,pndcg@10,1.0
142,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1121709,pndcg@10,0.9817513706383726
143,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1124210,pndcg@10,0.9467244958257146
144,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1129237,pndcg@10,0.9789546670381083
145,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,1133167,pndcg@10,0.9405216981427216
146,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,130510,pndcg@10,0.9924576465933802
147,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,131843,pndcg@10,1.0
148,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,146187,pndcg@10,0.9923912994899008
149,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,148538,pndcg@10,0.7019457316022335
150,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,156493,pndcg@10,0.956555697552819
151,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,168216,pndcg@10,1.0
152,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,182539,pndcg@10,0.8837308672980118
153,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,183378,pndcg@10,1.0
154,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,19335,pndcg@10,0.9505687326773495
155,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,207786,pndcg@10,0.9109543393914165
156,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,264014,pndcg@10,0.9897806162805066
157,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,359349,pndcg@10,0.9987964093833103
158,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,405717,pndcg@10,0.9782810690358367
159,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,443396,pndcg@10,0.9875987137740343
160,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,451602,pndcg@10,0.725244724490962
161,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,47923,pndcg@10,0.8434854989111982
162,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,489204,pndcg@10,0.9060392238459887
163,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,490595,pndcg@10,0.8281220808821165
164,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,527433,pndcg@10,0.6988887265313946
165,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,573724,pndcg@10,0.9368654095992811
166,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,833860,pndcg@10,0.9688983856205179
167,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,855410,pndcg@10,0.8068076475336649
168,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,87181,pndcg@10,1.0
169,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,87452,pndcg@10,0.9089180803632793
170,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,915593,pndcg@10,0.9839265131324728
171,colbert_rankgpt4_msmarco-passage-trec-dl-2019-judged.run,962179,pndcg@10,1.0
172,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1037798,pndcg@10,0.9618259847972628
173,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,104861,pndcg@10,1.0
174,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1063750,pndcg@10,1.0
175,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1103812,pndcg@10,0.7921965659898409
176,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1106007,pndcg@10,0.71649428833815
177,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1110199,pndcg@10,0.9741812714428363
178,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1112341,pndcg@10,0.9810793177072291
179,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1113437,pndcg@10,0.6540670245190022
180,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1114646,pndcg@10,0.9740622240763204
181,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1114819,pndcg@10,0.9910325417644757
182,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1115776,pndcg@10,0.9703609171223049
183,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1117099,pndcg@10,1.0
184,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1121402,pndcg@10,1.0
185,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1121709,pndcg@10,0.9670223355185276
186,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1124210,pndcg@10,0.9337262249685817
187,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1129237,pndcg@10,0.9860999492459656
188,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,1133167,pndcg@10,0.8908275745999403
189,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,130510,pndcg@10,0.9924576465933802
190,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,131843,pndcg@10,1.0
191,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,146187,pndcg@10,0.9514357409372346
192,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,148538,pndcg@10,0.8631524102446579
193,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,156493,pndcg@10,0.9405216981427216
194,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,168216,pndcg@10,1.0
195,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,182539,pndcg@10,0.847539623777678
196,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,183378,pndcg@10,1.0
197,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,19335,pndcg@10,0.8696370264736175
198,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,207786,pndcg@10,0.9214547894265918
199,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,264014,pndcg@10,1.0
200,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,359349,pndcg@10,0.9086613743270004
201,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,405717,pndcg@10,0.8080500482323065
202,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,443396,pndcg@10,0.9846551079740864
